Designator,Mid X,Mid Y,Rotation,Layer
BZ1,464.0,-83.25,0.0,top
C1,76.38,-199.655,270.0,top
C10,222.5,-76.0,0.0,top
C11,285.0,-76.0,0.0,top
C12,347.5,-76.0,0.0,top
C13,410.0,-76.0,0.0,top
C14,200.75,-235.4025,180.0,top
C15,189.5,-235.9025,0.0,top
C2,73.88,-199.655,270.0,top
C3,281.75,-235.6,0.0,top
C4,270.5,-236.1,0.0,top
C5,112.88,-241.38,270.0,top
C6,117.88,-241.38,270.0,top
C7,129.88,-219.38,270.0,top
C8,133.0,-219.38,270.0,top
C9,160.0,-76.0,0.0,top
D1,287.62,-243.6,180.0,top
D10,211.88,-100.0,180.0,top
D11,131.5,-114.5,270.0,top
D12,192.5,-57.5,0.0,top
D13,170.0,-190.0,180.0,top
D14,192.5,-111.0,0.0,top
D15,162.475,-111.45,0.0,top
D16,230.0,-190.0,180.0,top
D17,255.0,-111.0,0.0,top
D18,224.975,-111.45,0.0,top
D19,265.0,-193.975,0.0,top
D2,266.75,-206.4,0.0,top
D20,315.0,-193.975,0.0,top
D21,366.0,-193.975,0.0,top
D22,262.275,-93.25,0.0,top
D23,325.525,-93.25,0.0,top
D24,387.535,-93.25,0.0,top
D25,274.38,-100.0,180.0,top
D26,336.88,-100.0,180.0,top
D27,399.0,-100.0,180.0,top
D28,347.5,-234.0,90.0,top
D29,255.0,-57.5,0.0,top
D3,84.985,-237.0,0.0,top
D30,317.5,-57.5,0.0,top
D31,380.0,-57.5,0.0,top
D32,280.0,-190.0,180.0,top
D33,317.25,-111.0,0.0,top
D34,287.475,-111.45,0.0,top
D35,330.0,-190.0,180.0,top
D36,380.0,-111.0,0.0,top
D37,349.975,-111.45,0.0,top
D38,392.75,-184.0,180.0,top
D39,442.5,-111.0,0.0,top
D4,266.63,-215.9,0.0,top
D40,413.475,-111.45,0.0,top
D41,361.95,-225.025,90.0,top
D42,132.5,-189.0,0.0,top
D43,206.62,-243.4025,180.0,top
D44,150.0,-208.0,0.0,top
D5,155.0,-194.025,180.0,top
D6,215.0,-193.975,0.0,top
D7,138.0,-93.5,0.0,top
D8,199.775,-93.25,0.0,top
D9,147.0,-100.0,180.0,top
J1,150.0,-232.5,0.0,top
J10,276.0,-123.5,0.0,top
J11,325.5,-123.5,0.0,top
J12,391.5,-121.0,0.0,top
J15,210.5,-235.9025,0.0,top
J16,132.485,-182.0,90.0,top
J2,291.5,-236.1,0.0,top
J3,279.25,-223.665,180.0,top
J4,279.25,-210.4,0.0,top
J5,494.5,-96.0,180.0,top
J6,110.38,-227.38,90.0,top
J7,110.38,-211.38,90.0,top
J8,166.0,-123.5,0.0,top
J9,226.0,-123.5,0.0,top
K1,266.33,-223.4,0.0,top
L1,311.5,-239.1,90.0,top
L2,175.0,-150.0,270.0,top
L3,225.0,-150.0,270.0,top
L4,275.0,-150.0,270.0,top
L5,325.0,-150.0,270.0,top
L6,375.0,-150.0,270.0,top
L7,230.5,-238.9025,90.0,top
Q1,122.27,-93.9615,0.0,top
Q10,365.985,-124.5,0.0,top
Q11,361.5,-202.4615,0.0,top
Q12,133.77,-207.4615,0.0,top
Q2,193.0,-93.2315,0.0,top
Q3,154.985,-123.5,0.0,top
Q4,214.985,-123.5,0.0,top
Q5,255.5,-93.2315,0.0,top
Q6,318.75,-93.2115,0.0,top
Q7,380.73,-93.2315,0.0,top
Q8,264.985,-123.5,0.0,top
Q9,314.985,-123.5,0.0,top
R1,94.0,-236.88,90.0,top
R10,96.88,-200.235,270.0,top
R11,144.0,-194.0,0.0,top
R12,142.0,-109.58,270.0,top
R13,204.5,-109.58,270.0,top
R14,168.0,-101.5,180.0,top
R15,230.5,-101.5,0.0,top
R16,105.88,-200.235,270.0,top
R17,97.5,-236.92,90.0,top
R18,114.88,-200.235,270.0,top
R19,123.88,-200.235,270.0,top
R2,70.0,-190.58,270.0,top
R20,254.0,-194.0,180.0,top
R21,304.0,-194.0,180.0,top
R22,355.0,-194.0,180.0,top
R23,254.0,-123.5,0.0,top
R24,304.0,-126.0,0.0,top
R25,355.0,-124.5,0.0,top
R26,343.5,-204.42,90.0,top
R27,347.5,-204.42,90.0,top
R28,267.0,-109.58,270.0,top
R29,329.5,-109.58,270.0,top
R3,75.08,-182.0,180.0,top
R30,392.0,-109.58,270.0,top
R31,293.0,-101.5,0.0,top
R32,355.5,-101.5,0.0,top
R33,418.0,-101.5,0.0,top
R34,347.5,-217.42,270.0,top
R35,433.0,-213.0,180.0,top
R36,136.92,-197.0,180.0,top
R4,87.88,-200.235,270.0,top
R5,95.42,-182.0,0.0,top
R6,90.42,-236.92,270.0,top
R7,204.0,-194.0,180.0,top
R8,144.0,-123.5,0.0,top
R9,204.0,-123.5,0.0,top
RV1,492.0,-81.5,0.0,top
SW1,128.5,-237.5,180.0,top
SW2,332.0,-236.5,90.0,top
U1,255.5,-238.9025,180.0,top
U10,132.4995,-174.4,0.0,top
U2,77.38,-189.155,90.0,top
U3,87.88,-189.155,90.0,top
U4,110.38,-219.2,90.0,top
U5,96.88,-189.155,90.0,top
U6,105.88,-189.155,90.0,top
U7,114.88,-189.155,90.0,top
U8,123.88,-189.155,90.0,top
U9,174.5,-238.9025,180.0,top
V3,193.5,-214.1,180.0,top
Y1,115.38,-233.38,0.0,top
